gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions
00-0019559,2005,3,83,49,530.0,2,3.0,-8.05009335718671,0.0,0.0,30.0,0.0,0.19904785875968037,9.0,52.0,0
00-0019559,2006,16,485,313,3352.0,17,16.0,24.74479794571577,3660.0,1412.0,161.0,14.872741006059698,1.8968849696880203,29.0,172.0,0
00-0019559,2007,9,260,179,1766.0,10,9.0,-2.4694395016270647,1913.0,640.0,90.0,8.872275904749436,1.0912541756317522,26.0,178.0,1
00-0019559,2008,16,476,321,3653.0,19,7.0,90.0194417308048,3884.0,1404.0,180.0,16.785920794629877,2.44208019723294,23.0,117.0,0
00-0019559,2009,3,74,51,413.0,1,2.0,-0.4668614449168853,554.0,148.0,27.0,2.7192977178899014,0.3452353122171599,6.0,32.0,0
00-0019559,2010,1,2,1,19.0,0,0.0,0.921495056245476,9.0,13.0,1.0,2.111111111111111,0.0,0.0,0.0,0
00-0019576,2001,8,2,0,0.0,0,2.0,-5.916968911420554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019596,2000,1,3,1,6.0,0,0.0,-1.342475933022797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019596,2001,15,413,264,2843.0,18,12.0,14.048472081929631,0.0,0.0,143.0,0.0,1.290487273433312,41.0,216.0,0
00-0019596,2002,16,601,373,3764.0,28,14.0,13.039537683352256,0.0,0.0,184.0,0.0,1.43246856501538,31.0,190.0,2
00-0019596,2003,16,528,317,3620.0,23,12.0,35.284094999821775,0.0,0.0,175.0,0.0,1.4072079465029443,32.0,219.0,0
00-0019596,2004,16,474,288,3690.0,28,14.0,120.46439413787454,0.0,0.0,188.0,0.0,2.2457748198805523,26.0,162.0,0
00-0019596,2005,16,530,334,4110.0,26,14.0,112.97456953332264,0.0,0.0,193.0,0.0,2.096359192076546,26.0,188.0,0
00-0019596,2006,16,517,320,3533.0,24,12.0,67.65501013516601,4170.0,1673.0,176.0,14.138026349196135,1.8858686359902892,26.0,175.0,2
00-0019596,2007,16,578,398,4806.0,50,8.0,250.0281579677097,4746.0,2071.0,240.0,17.78809299907936,3.9428451670062556,21.0,128.0,0
00-0019596,2008,1,11,7,76.0,0,0.0,0.037038876209408045,74.0,28.0,3.0,1.027027027027027,0.039763840122883184,0.0,0.0,0
00-0019596,2009,16,565,371,4398.0,28,13.0,136.5798376742497,4711.0,2222.0,214.0,15.84417799713378,2.639397791356565,16.0,86.0,1
00-0019596,2010,16,492,324,3900.0,36,4.0,150.04829620827692,3872.0,1880.0,189.0,17.006376178407614,2.7150111858776365,25.0,175.0,0
00-0019596,2011,16,611,401,5235.0,39,12.0,198.03348554604884,4989.0,2566.0,261.0,17.867145576074247,2.8624508173591283,32.0,173.0,0
00-0019596,2012,16,637,401,4827.0,35,8.0,190.1886397708397,5508.0,2218.0,255.0,14.622637311181153,2.8166740225016262,27.0,182.0,0
00-0019596,2013,16,628,380,4343.0,25,11.0,69.39238269031705,5304.0,2014.0,225.0,13.807960406621536,1.555463540646113,40.0,256.0,2
00-0019596,2014,16,582,373,4109.0,33,9.0,110.73081503496122,4691.0,1862.0,220.0,14.61368789217741,2.1115059419120663,21.0,134.0,0
00-0019596,2015,16,624,402,4770.0,36,7.0,127.53617939309689,4915.0,2414.0,228.0,17.189631811442812,1.9951222418290377,38.0,225.0,0
00-0019596,2016,12,432,291,3554.0,28,2.0,147.29648005710285,3353.0,1744.0,163.0,13.359502540716697,2.2304430660219006,15.0,87.0,1
00-0019596,2017,16,581,385,4577.0,32,8.0,138.50818443449458,5308.0,1910.0,230.0,14.757794827119636,2.6240444178350972,35.0,201.0,2
00-0019596,2018,16,570,375,4355.0,29,11.0,92.55194421713175,4487.0,2121.0,205.0,16.84065926549696,2.0598924597742205,21.0,147.0,0
00-0019596,2019,16,613,373,4057.0,24,8.0,31.495536933869403,4613.0,1863.0,193.0,14.739259707018444,1.3741073944917566,27.0,185.0,1
00-0019596,2020,16,610,401,4633.0,40,12.0,133.306173572968,5532.0,1810.0,233.0,13.480106637924505,2.8546430218677945,21.0,143.0,0
00-0019596,2021,17,719,485,5316.0,43,12.0,145.71488371139247,5804.0,2534.0,269.0,16.02689856101568,2.4575664605084473,22.0,144.0,0
00-0019596,2022,17,733,490,4694.0,25,9.0,61.90626977165676,5027.0,2292.0,237.0,16.32944806347621,1.55658437000219,22.0,160.0,2
00-0019599,2002,7,214,138,1826.0,14,6.0,60.430205503497234,0.0,0.0,86.0,0.0,0.6899173831443974,12.0,102.0,0
00-0019599,2003,15,532,336,3845.0,22,22.0,34.9373443060663,0.0,0.0,193.0,0.0,1.593594212202989,37.0,288.0,0
00-0019599,2004,14,485,321,3964.0,21,14.0,76.32803505016615,0.0,0.0,180.0,0.0,1.5158402330744023,41.0,302.0,1
00-0019599,2005,8,287,192,2297.0,14,9.0,51.55671240887721,0.0,0.0,109.0,0.0,1.017564157905112,26.0,192.0,0
00-0019599,2006,16,588,370,4301.0,24,8.0,55.18097075092615,5291.0,1618.0,211.0,13.386452513320867,1.7975633142227867,49.0,366.0,1
00-0019599,2007,12,378,221,2392.0,11,15.0,-47.93895474614525,3308.0,724.0,128.0,9.673949605404314,0.7102150375816381,37.0,269.0,0
00-0019599,2008,15,441,252,2727.0,11,13.0,-80.12942850714597,3819.0,1157.0,121.0,10.967411966605479,0.07311027269648367,38.0,263.0,0
00-0019599,2009,9,247,140,1469.0,5,6.0,-38.49705222251772,1904.0,690.0,78.0,8.066531377374318,0.478366920461633,14.0,85.0,0
00-0019622,2000,1,2,2,-2.0,0,0.0,-1.3838941385038197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019623,2000,1,1,1,-4.0,0,0.0,-1.494645684142597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019623,2001,2,2,2,21.0,0,0.0,2.106146323727444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019623,2002,4,43,26,232.0,2,0.0,-3.1922018993326757,0.0,0.0,11.0,0.0,0.1004033729755626,5.0,26.0,0
00-0019623,2003,8,118,73,856.0,7,2.0,20.074316703208652,0.0,0.0,41.0,0.0,0.5923578848692779,7.0,54.0,0
00-0019623,2004,9,325,198,2169.0,10,10.0,-30.413287878685075,0.0,0.0,108.0,0.0,0.6630246384745886,37.0,211.0,2
00-0019623,2005,4,97,56,667.0,5,6.0,-13.584449730135908,0.0,0.0,32.0,0.0,0.35321341237853743,10.0,63.0,0
00-0019623,2006,4,101,61,748.0,4,2.0,9.134248078508366,587.0,334.0,26.0,5.511455255262795,0.30703368190152736,4.0,18.0,0
00-0019623,2007,4,27,15,164.0,3,3.0,-3.379020738894946,318.0,34.0,10.0,3.5079872204472844,-0.02370285602677041,0.0,0.0,0
00-0019633,2003,2,16,6,69.0,0,1.0,-11.563688376976643,0.0,0.0,5.0,0.0,0.0746467125827841,1.0,5.0,0
00-0019641,2006,16,1,1,-4.0,0,0.0,-1.0807996408548206,-13.0,9.0,0.0,0.0,0.0,0.0,0.0,0
00-0019644,2002,16,1,1,31.0,1,0.0,3.9275629916228354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019650,2003,15,1,0,0.0,0,0.0,-0.5846244614804164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019682,2000,2,1,0,0.0,0,0.0,-2.7992189191281796,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
