gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0022824,2022,1,1.0,,2.864477,,2.864477,,4.0,,1.0,0.0,0.0,2.864477,2.864477,,,,1.0,1.0
00-0022921,2018,1,1.0,,3.0880427,,3.0880427,,32.0,,1.0,1.0,0.0,3.0880427,3.0880427,,,,1.0,1.0
00-0022924,2018,16,42.1875,9.785831594708748,8.92788655625,10.717701520705209,0.24959116020884814,0.3343227644879396,7.828643775464515,1.8332290728809553,0.6798265861828819,0.057048525567266035,0.024114731258042935,-7.5653358,27.658562,0.23196045261531847,1.2004746535676176,1.3394815914481562,12.0,0.75
00-0022924,2019,2,31.0,22.627416997969522,-6.5826293499999995,2.2659118716290454,-0.25308601907801415,0.11163777478726614,5.4361702127659575,0.6168378303967755,0.5539007092198582,0.0,0.010638297872340425,-8.184871,-4.9803877,0.7299166773538556,0.3442259545768053,0.4411060523768151,0.0,0.0
00-0022924,2020,16,42.25,10.79814798935447,3.93993971875,8.521901707535763,0.10135105128767183,0.2287556216870286,6.376815616845948,1.0044626202707567,0.6576746623203297,0.05591981990186159,0.017813937796137484,-13.884794,15.8451,0.2555774672036561,2.1629523078691806,2.257062149634101,12.0,0.75
00-0022924,2021,17,38.1764705882353,8.323425482618672,-2.8360815729411764,8.162738992971999,-0.056570308109817405,0.22765498372368642,6.26678191533145,1.6282298281378245,0.6455100682747135,0.038244139940437565,0.013605945774061861,-17.46314,9.348527,0.2180250126417834,2.8781749688908906,4.024283963271864,7.0,0.4117647058823529
00-0022942,2018,18,32.833333333333336,8.893156655210658,7.997882883888888,8.12766929692459,0.2591961400742806,0.26256361918646903,8.325576590296777,2.012701978906405,0.6726873402905736,0.061749315662611944,0.02165826914548925,-10.293822,19.144842,0.2708575631028627,1.0162275960926044,1.0129920110354398,15.0,0.8333333333333334
00-0022942,2019,16,36.9375,8.543759906114715,4.230068504375,10.79768523297391,0.15698625524700632,0.37256315646766774,8.184234315720529,2.2925085372322367,0.6671758501158037,0.04307152769094477,0.031710930006897356,-16.390259,25.134481,0.23130314466638824,2.552602923996685,2.3732215019809666,11.0,0.6875
00-0022942,2020,17,34.64705882352941,7.721246470539813,6.946552345882353,9.179618221156376,0.20937412572504518,0.2617038106938072,7.706127490684492,1.1529854704841622,0.6781946301152957,0.045261900880665895,0.018123735969800464,-13.752143,18.386179,0.22285431239249034,1.3214639095892942,1.2499338673656484,13.0,0.7647058823529411
00-0023436,2018,10,32.8,8.804039476916895,-0.6617012980000005,9.66109383476879,-0.0008642935564892263,0.3416948487085528,6.835415242165242,1.8525277621236633,0.6175790288616375,0.03522483896940419,0.017145423014988233,-20.095694,13.331767,0.26841583771088096,14.600385194905243,34.16948487085528,5.0,0.5
