gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr,sigma_att,sigma_epa_att
00-0034857,Josh Allen,2024,579,90.5337982197074,65.4547338053779,65.0159909966336,1.2146851767863913,43.09982692241451,86.18312127276327,128.87233496524914,43.083294350348766,87.7866732482784,0.1825544060239529
00-0034857,Josh Allen,2025,579,90.5337982197074,67.04523042749638,67.35936637407005,-0.03250514067123438,44.406853265963385,89.67616416464259,129.00636372558307,45.2693108986792,87.7866732482784,0.1825544060239529
00-0035289,Gardner Minshew,2024,490,-5.751706553653355,21.419593446258137,21.685482202999808,-40.514924032286466,0.2850875981051466,42.51104213682186,84.11055755557128,42.22595453871671,87.7866732482784,0.1381959507877129
00-0035289,Gardner Minshew,2025,490,-5.751706553653355,22.57861653091972,23.13603739031189,-40.56371779597983,2.08351601390519,44.45565285418509,85.98235597214004,42.3721368402799,87.7866732482784,0.1381959507877129
00-0036212,Tua Tagovailoa,2024,560,123.56834628780518,67.9841160953347,68.242225005604,5.315898189901154,46.25770448994664,90.02765869995791,129.43191269506778,43.76995421001127,87.7866732482784,0.10666197428596662
00-0036212,Tua Tagovailoa,2025,560,123.56834628780518,71.13527165217337,71.3558952103599,9.026458344048773,48.744828709435254,94.00813016619482,134.659659954571,45.263301456759564,87.7866732482784,0.10666197428596662
00-0036264,Jordan Love,2024,579,85.91758448326394,46.37249098824794,45.73537138352896,-14.448537919865913,23.611214803946755,68.71520643464765,109.65370505494016,45.103991630700904,87.7866732482784,0.18044245222701363
00-0036264,Jordan Love,2025,579,85.91758448326394,49.84020695864767,49.30119166688037,-12.637219861156838,27.89224560102352,72.71540175211824,114.95321667671301,44.82315615109472,87.7866732482784,0.18044245222701363
00-0036355,Justin Herbert,2024,456,26.86385552285643,29.557391008306087,28.981196823273716,-32.54674147542016,7.9154934328199,51.79752643180478,91.1358979809954,43.88203299898488,87.7866732482784,0.09682055092195592
00-0036355,Justin Herbert,2025,456,26.86385552285643,32.82724877811399,32.60802712133898,-28.95292385772692,11.789034111542247,53.96070074503971,98.02975145288639,42.171666633497466,87.7866732482784,0.09682055092195592
00-0036389,Jalen Hurts,2024,538,63.33172199597199,49.20964183270099,48.560396148094775,-10.951480182218383,28.610633166865835,69.0323001264938,109.48451728911105,40.421666959627956,35.35533905932738,0.08138946712201679
00-0036389,Jalen Hurts,2025,538,63.33172199597199,52.13368296078243,51.9531019940632,-8.718654042766849,30.91367400801106,72.82789423879392,114.56459221541255,41.91422023078286,35.35533905932738,0.08138946712201679
00-0036442,Joe Burrow,2024,365,6.095037059046859,34.78556885568185,34.908008706777906,-25.953370687222385,13.13473849260659,55.9286209300291,95.94948704587547,42.79388243742251,87.7866732482784,0.09982297090351137
00-0036442,Joe Burrow,2025,365,6.095037059046859,36.819761752418366,36.88142144722734,-25.724206219377535,15.65303753759259,58.2587204187652,99.59299357714012,42.60568288117261,87.7866732482784,0.09982297090351137
00-0036945,Justin Fields,2024,370,-36.29647671384594,-16.743520616186053,-17.035857346679464,-79.59197203574125,-38.09400614007547,4.865204166139751,46.19814554513278,42.959210306215226,87.7866732482784,0.053089672854421975
00-0036945,Justin Fields,2025,370,-36.29647671384594,-13.417334739503055,-13.84802730360422,-76.38281828967155,-34.728827755174606,8.86884904258234,51.793676584963826,43.59767679775695,87.7866732482784,0.053089672854421975
00-0036971,Trevor Lawrence,2024,564,0.777313856267682,15.082114870718108,15.106191128531446,-49.11911917506165,-6.306161801053422,37.68077139963674,76.89981668793922,43.98693320069016,5.0,0.19821250622502237
00-0036971,Trevor Lawrence,2025,564,0.777313856267682,18.277988410951888,18.908938455824828,-44.30116223964766,-3.271655859953259,41.32721299704893,80.74398396050448,44.59886885700219,5.0,0.19821250622502237
00-0036972,Mac Jones,2024,345,-53.75460128159115,-7.362870987425678,-6.615886763208698,-69.64185413488603,-28.33501608102654,14.779028825019687,54.583265196793604,43.11404490604623,12.727922061357855,0.04961898241255553
00-0036972,Mac Jones,2025,345,-53.75460128159115,-2.352299711101444,-2.7433331226916224,-66.70991231724234,-25.804335555137868,18.019785114386092,62.15518380031403,43.824120669523964,12.727922061357855,0.04961898241255553
00-0037013,Zach Wilson,2024,368,-101.30015159158766,-30.31602888147833,-30.482925585429296,-92.90774861359226,-51.50025900419244,-9.21288041805063,30.922098010788183,42.28737858614181,87.7866732482784,0.15793212791516845
00-0037013,Zach Wilson,2025,368,-101.30015159158766,-24.629846436663637,-24.734389685148116,-87.87813933086957,-46.99554719352399,-2.811623071778314,39.94732958910288,44.183924121745676,87.7866732482784,0.15793212791516845
00-0037077,Sam Howell,2024,612,-103.66117762751853,-7.104091307766202,-7.51183780125926,-71.85998822652859,-30.467193560084628,16.03965946018599,56.020012780800364,46.50685302027062,87.7866732482784,0.18044245222701363
00-0037077,Sam Howell,2025,612,-103.66117762751853,-3.150515760574448,-2.836765313802608,-70.5414881364063,-26.42961315605539,21.446793232543133,63.0294881958808,47.876406388598525,87.7866732482784,0.18044245222701363
00-0037834,Brock Purdy,2024,444,143.7535585695354,76.98727651043795,77.89974808104398,12.023714168704737,53.644630826412254,100.16911112961157,142.43432976497152,46.52448030319931,87.7866732482784,0.18044245222701363
