gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr
00-0034855,Baker Mayfield,2025,566,50.66617850090984,41.087414480037786,40.45117846352659,-495.0375806253777,-164.7653559740226,255.03943579172736,577.4304171273967,419.80479176575
00-0034857,Josh Allen,2024,579,90.5337982197074,66.52997667089477,64.25156068933606,-303.68616997843657,-77.90519493307688,211.18526932621296,448.19580025410227,289.09046425928983
00-0034857,Josh Allen,2025,579,90.5337982197074,73.77826336845581,71.61642031403422,-457.5603893229684,-125.81331781747465,275.2460717611128,611.5479884125756,401.05938957858746
00-0035289,Gardner Minshew,2024,490,-5.751706553653355,26.553080327454023,24.82203613304641,-201.08786846665,-65.48427439508458,115.63148533771731,261.079094683327,181.1157597328019
00-0035289,Gardner Minshew,2025,490,-5.751706553653355,28.219166045459357,26.976698512884894,-284.6299509609177,-94.77904602807196,143.28348816573381,354.4265365388002,238.0625341938058
00-0036212,Tua Tagovailoa,2024,560,123.56834628780518,75.0243454129433,77.59587081907543,-127.03397672929553,-4.434398663709768,152.23470653329363,268.4475628446776,156.6691051970034
00-0036212,Tua Tagovailoa,2025,560,123.56834628780518,82.10303664994535,80.36228991574524,-188.50707006086213,-18.7503845361024,182.9348500719599,355.1275130260455,201.68523460806227
00-0036264,Jordan Love,2024,579,85.91758448326394,45.6133767884888,48.50693290689179,-297.16921513695246,-79.5569903555924,166.88068248782275,386.29667746944307,246.43767284341516
00-0036264,Jordan Love,2025,579,85.91758448326394,53.699532463159876,53.43595249906022,-422.76896954309916,-117.04061426257888,230.1997816809298,529.2502090838074,347.2403959435087
00-0036355,Justin Herbert,2024,456,26.86385552285643,33.481175584011716,31.294205426352633,-364.2178289855428,-113.93012325038679,180.9453104411939,434.0366999593432,294.87543369158067
00-0036355,Justin Herbert,2025,456,26.86385552285643,40.82629158680646,39.691220052417705,-499.7652897463408,-171.01940762317037,248.0206955679647,585.1599653212262,419.0401031911351
00-0036389,Jalen Hurts,2024,538,63.33172199597199,52.32044579855971,51.715205481620416,-185.98142777226536,-36.911122256360756,141.46930869015938,294.6502599536034,178.38043094652014
00-0036389,Jalen Hurts,2025,538,63.33172199597199,57.94895518965806,59.89847185449203,-260.2731999388485,-68.20223739721752,181.28043155141836,386.53022940856357,249.48266894863588
00-0036442,Joe Burrow,2024,365,6.095037059046859,35.84512153338051,37.9790026997662,-356.0609710546244,-110.13281101146363,183.10822184286374,422.81527766584196,293.2410328543274
00-0036442,Joe Burrow,2025,365,6.095037059046859,34.24478841477631,25.139352384159714,-504.7904109831172,-170.55772328263896,242.721338728605,574.7012139961241,413.2790620112439
00-0036945,Justin Fields,2024,370,-36.29647671384594,-15.43068076485875,-13.35548109693448,-180.31423260930475,-76.48195296666032,45.99125743101372,148.68558621146943,122.47321039767404
00-0036945,Justin Fields,2025,370,-36.29647671384594,-8.986819926444097,-8.155620836187552,-232.35471422983247,-93.4661965412027,81.30707743872304,217.88305636284483,174.77327397992576
00-0036971,Trevor Lawrence,2024,564,0.777313856267682,17.024630131784026,17.97829968205518,-379.8659407953084,-125.93737813952188,157.80419709604425,402.5846215496924,283.74157523556613
00-0036971,Trevor Lawrence,2025,564,0.777313856267682,19.468095190585917,21.87701829606393,-529.8185080911545,-195.95974234315221,233.6989889633466,570.115975340942,429.6587313064988
00-0036972,Mac Jones,2024,345,-53.75460128159115,-1.9480622917760606,-1.9037474944295152,-268.0945089682542,-104.64818330073662,100.95174798720075,263.2952286707023,205.59993128793735
00-0036972,Mac Jones,2025,345,-53.75460128159115,-1.2757629901354925,4.0146316757033,-375.94534186055563,-149.0374806270222,146.74354540073563,378.65132308412547,295.78102602775783
00-0037013,Zach Wilson,2024,368,-101.30015159158766,-26.77945816526674,-23.88539769104782,-411.06928396187647,-175.59352785636145,118.98555085053191,354.18096738136836,294.57907870689337
00-0037013,Zach Wilson,2025,368,-101.30015159158766,-27.179573708789846,-26.059175593184726,-562.2229818607227,-234.13645348017883,183.4871571490374,526.3988380672387,417.6236106292162
00-0037077,Sam Howell,2024,612,-103.66117762751853,-11.30315003963339,-6.9554916091323,-360.5888366194149,-138.05078285984322,123.55479903568366,332.41726588659446,261.6055818955269
00-0037077,Sam Howell,2025,612,-103.66117762751853,2.451657792111053,2.717218972325412,-467.2707853237198,-173.3409879542872,175.50332157597467,473.86137707826066,348.84430953026185
00-0037834,Brock Purdy,2024,444,143.7535585695354,75.70216677827179,76.13890177331925,-257.3865803773543,-51.98982374515456,207.59742026930127,402.4564236943709,259.58724401445585
00-0037834,Brock Purdy,2025,444,143.7535585695354,84.53878651354276,85.5390477815586,-391.2212462921703,-95.78126499452807,266.0654167719583,569.5315475289239,361.8466817664864
00-0038102,Kenny Pickett,2024,324,-40.24149194660611,-0.5469091680409959,-4.596502644270715,-337.76976726175417,-132.9346119837614,131.20275460094666,347.6572520560009,264.13736658470805
00-0038102,Kenny Pickett,2025,324,-40.24149194660611,5.995827291368921,5.359575161842772,-460.99783660732385,-177.745013577716,185.58580532518837,485.58876848003894,363.3308189029044
00-0038122,Desmond Ridder,2024,388,-33.3997411758443,5.979418221189583,6.441844799341309,-332.52867745551026,-125.12519297579654,133.61940188877165,337.017349856894,258.74459486456817
00-0038122,Desmond Ridder,2025,388,-33.3997411758443,14.449113325295356,9.483810558969312,-439.7278736648337,-172.36158404780002,199.16224215403258,486.1885128799827,371.5238262018326
00-0038579,Aidan O'Connell,2024,343,-16.852607789448424,-3.093865882724971,-4.280594391544657,-328.38576386956333,-128.57398196302336,126.10158632782435,322.59038875202947,254.6755682908477
00-0038579,Aidan O'Connell,2025,343,-16.852607789448424,5.109184955222892,4.469056431944094,-462.47225090851055,-172.96574310545498,182.49222910988718,471.28222449033257,355.4579722153421
00-0039150,Bryce Young,2024,527,-160.3264418747372,-9.854787453326075,-9.969740619228816,-347.1626626107647,-142.2429042433196,123.96342967665123,342.44258393497364,266.2063339199708
00-0039150,Bryce Young,2025,527,-160.3264418747372,-15.631634994651144,-20.25575958737491,-480.91092881123024,-191.0517525450686,170.22161015402128,455.2083101676996,361.2733626990899
00-0039163,C.J. Stroud,2024,499,64.82617261070857,23.02478944824833,20.348957755538187,-312.7198463650402,-103.52585344705341,149.06675844750512,354.69152946423833,252.59261189455853
00-0039163,C.J. Stroud,2025,499,64.82617261070857,19.661929361605452,24.564156318239576,-455.9798876632347,-164.32567866141247,199.4635807398772,487.441787828229,363.78925940128966
