gsis_id,season,carries,rushing_yards,rushing_tds,rushing_epa,rushing_first_downs,rushing_fumbles,rushing_fumbles_lost,games,ryoe_total,ryoe_per_att,rush_pct_oe,pct_box_8plus,avg_time_to_los,ngs_efficiency,display_name,position,birth_date,rookie_season,draft_round,draft_pick,has_ngs,age,age_c,age_c2,experience,log_carries,rushing_epa_per_att,rushing_epa_lag1,carries_lag1,log_carries_lag1,ryoe_per_att_lag1,rushing_epa_per_att_lag1,pct_box_8plus_lag1,delta_rushing_epa,delta_carries,delta_ryoe_per_att
00-0032257,2019,83,410.0,2,-11.920557863919283,17.0,1.0,1.0,16,,0.09198216852442154,,21.502689616064217,,,Duke Johnson,RB,1993-09-23,2015,3.0,77.0,0,25.93839835728953,0.4558308142362151,0.20778173120725082,4,4.418840607796598,-0.14362117908336486,3.9435864383121952,82.0,4.406719247264253,0.09198216852442154,0.04809251754039263,21.502689616064217,-15.864144302231479,1.0,0.0
00-0032257,2020,77,235.0,1,-25.557877224229742,11.0,2.0,2.0,11,,0.09198216852442154,,21.502689616064217,,,Duke Johnson,RB,1993-09-23,2015,3.0,77.0,0,26.940451745379878,1.4578842023265643,2.125426347393363,5,4.343805421853684,-0.3319204834315551,-11.920557863919283,83.0,4.418840607796598,0.09198216852442154,-0.14362117908336486,21.502689616064217,-13.637319360310459,-6.0,0.0
00-0032371,2016,168,704.0,6,-7.039875725240563,29.0,0.0,0.0,14,,0.09198216852442154,,22.61904761904762,2.684644736842105,4.077017045454545,Rob Kelley,RB,1992-10-03,2016,,,0,23.912388774811774,-1.57017876824154,2.46546136423652,0,5.123963979403259,-0.04190402217405097,,,,,,,,,
00-0032411,2016,88,382.0,2,6.856167609075783,26.0,1.0,0.0,12,,0.09198216852442154,,20.454545454545457,2.7949066666666664,4.082931937172775,Kenneth Dixon,RB,1994-01-21,2016,4.0,134.0,0,22.611909650924023,-2.870657892129291,8.240676733644184,0,4.477336814478207,0.07791099555767934,,,,,,,,,
00-0032417,2016,112,456.0,0,-7.051639307755977,22.0,1.0,0.0,13,,0.09198216852442154,,5.357142857142857,2.5745514018691584,3.6825657894736863,Paul Perkins,RB,1994-11-16,2016,5.0,149.0,0,21.793292265571527,-3.689275277481787,13.610752073038318,0,4.718498871295094,-0.06296106524782122,,,,,,,,,
00-0032426,2017,212,973.0,6,-1.4442912176715499,51.0,2.0,2.0,15,,-0.6058939012849277,,32.54716981132076,3.017918032786884,4.229260020554985,Alex Collins,RB,1994-08-26,2016,5.0,171.0,0,23.017111567419576,-2.4654559756337378,6.078473167788106,1,5.356586274672012,-0.006812694422979009,,,,,,,,,
00-0032426,2018,114,411.0,7,-20.044759691663785,22.0,3.0,3.0,10,-39.39053227463688,-0.3613810300425402,0.4036697247706422,34.21052631578947,2.984857142857141,4.908272506082727,Alex Collins,RB,1994-08-26,2016,5.0,171.0,1,24.016427104722794,-1.4661404383305197,2.149567784908008,2,4.736198448394496,-0.1758312253654718,-1.4442912176715499,212.0,5.356586274672012,-0.6058939012849277,-0.006812694422979009,32.54716981132076,-18.600468473992237,-98.0,0.24451287124238752
00-0032426,2021,108,411.0,2,-12.090981805406045,22.0,0.0,0.0,11,-90.14311788789541,-0.8504067725273152,0.27358490566037735,10.185185185185185,2.715726315789473,3.927956204379563,Alex Collins,RB,1994-08-26,2016,5.0,171.0,1,27.017111567419576,1.5345440243662622,2.354825362718204,5,4.68213122712422,-0.11195353523524115,-20.044759691663785,114.0,4.736198448394496,-0.3613810300425402,-0.1758312253654718,34.21052631578947,7.95377788625774,-6.0,-0.48902574248477504
00-0032450,2016,90,265.0,1,-22.046462600235827,11.0,0.0,0.0,11,,0.09198216852442154,,17.77777777777778,2.897609756097561,5.354360902255639,Dwayne Washington,RB,1994-04-24,2016,7.0,236.0,0,22.357289527720738,-3.125278015332576,9.767362673121124,0,4.499809670330265,-0.24496069555817584,,,,,,,,,
00-0032602,2020,85,365.0,1,-6.219467732895017,25.0,1.0,0.0,16,-51.60927896146836,-0.6071679877819808,0.32941176470588235,1.1764705882352942,2.6339605263157906,3.9097534246575347,J.D. McKissic,RB,1993-08-15,2016,,,1,27.04722792607803,1.5646603830247159,2.4481621142070504,4,4.442651256490317,-0.07317020862229433,,,,,,,,,
00-0032741,2017,108,423.0,3,-3.707424261723645,23.0,2.0,1.0,11,,-0.4604295756206609,,33.33333333333333,2.8691372549019607,3.896879432624114,Peyton Barber,RB,1994-02-27,2016,,,0,23.509924709103355,-1.9726428339499584,3.8913197503341235,1,4.68213122712422,-0.03432800242336708,,,,,,,,,
00-0032741,2018,234,871.0,5,-42.79513554597919,41.0,1.0,1.0,16,-1.231557598325594,-0.005377980778714384,0.4148471615720524,22.64957264957265,2.7486763285024156,4.040838117106775,Peyton Barber,RB,1994-02-27,2016,,,1,24.50924024640657,-0.9733272966467439,0.9473660263976585,2,5.455321115357702,-0.18288519464093672,-3.707424261723645,108.0,4.68213122712422,-0.4604295756206609,-0.03432800242336708,33.33333333333333,-39.08771128425555,126.0,0.4550515948419465
00-0032741,2019,154,470.0,6,-33.682790465477545,23.0,1.0,1.0,16,-87.95252501424989,-0.5824670530745025,0.3708609271523179,33.116883116883116,2.681151079136691,4.158808510638298,Peyton Barber,RB,1994-02-27,2016,,,1,25.508555783709788,0.025988240656474204,0.0006753886524188188,3,5.0369526024136295,-0.21871941860699703,-42.79513554597919,234.0,5.455321115357702,-0.005377980778714384,-0.18288519464093672,22.64957264957265,9.112345080501647,-80.0,-0.5770890722957881
00-0032741,2020,94,258.0,4,-4.4870641966011995,26.0,0.0,0.0,14,-74.58370714282398,-0.7934436930087657,0.35106382978723405,42.5531914893617,2.6626590909090906,4.389922480620154,Peyton Barber,RB,1994-02-27,2016,,,1,26.510609171800137,1.0280416287468235,1.0568695904364216,4,4.543294782270004,-0.04773472549575744,-33.682790465477545,154.0,5.0369526024136295,-0.5824670530745025,-0.21871941860699703,33.116883116883116,29.195726268876346,-60.0,-0.2109766399342632
00-0032764,2016,110,490.0,5,-0.2933482906082645,29.0,0.0,0.0,14,,0.6520637981512571,,52.72727272727272,2.793009803921568,4.1207346938775515,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,0,22.65845311430527,-2.824114428748043,7.975622306662886,0,4.700480365792417,-0.0026668026418933135,,,,,,,,,
