gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr
00-0036264,Jordan Love,2025,579,85.91758448326394,58.4317593652134,56.02182291583435,-439.30328543159663,-127.91963360856018,254.5742118592923,553.5927942651351,382.49384546785245
00-0036355,Justin Herbert,2024,456,26.86385552285643,41.453548297232885,43.061314918999855,-347.16460464937774,-113.66263725196123,192.9100006353052,437.8534783739239,306.5726378872664
00-0036355,Justin Herbert,2025,456,26.86385552285643,46.46387780931582,39.76489797341213,-494.8604354208122,-166.48176851349805,254.1935288882835,595.0230926137328,420.67529740178156
00-0036389,Jalen Hurts,2024,538,63.33172199597199,50.89241657251536,50.859300837623294,-184.92297409649825,-41.650114751895785,142.05808950723954,289.7202494544095,183.70820425913533
00-0036389,Jalen Hurts,2025,538,63.33172199597199,55.70863331919767,56.2861477229562,-273.97530213817066,-75.44262185241932,181.2364100042044,393.1960169578336,256.67903185662374
00-0036442,Joe Burrow,2024,365,6.095037059046859,41.985060594915055,40.179751567977,-344.7768111358464,-109.2948578023595,189.10349366494572,439.24316046896314,298.39835146730525
00-0036442,Joe Burrow,2025,365,6.095037059046859,34.10026551178494,33.93448826562519,-521.9529194157734,-182.1034650235153,246.33860479400727,594.6117135210886,428.44206981752257
00-0036945,Justin Fields,2024,370,-36.29647671384594,-8.583061349612693,-7.229553871291265,-174.7848338762514,-73.62452431838142,55.37110037366277,158.87507171616127,128.9956246920442
00-0036945,Justin Fields,2025,370,-36.29647671384594,-5.3042024327182355,-2.1133320865959555,-232.52503070961976,-91.60380381530662,77.56609645550638,225.9172546499373,169.169900270813
00-0036971,Trevor Lawrence,2024,564,0.777313856267682,28.634805220367078,26.54700426709101,-377.31800602553653,-124.08270556820226,184.93744852140085,429.7749407448439,309.0201540896031
00-0036971,Trevor Lawrence,2025,564,0.777313856267682,23.208476667623614,18.689519760142517,-525.173357546114,-185.95323409026105,236.7588833361283,576.4650165199391,422.71211742638934
00-0036972,Mac Jones,2024,345,-53.75460128159115,-2.847106729316021,-3.0347548788635503,-275.9830847507821,-108.39822147163312,101.22968237718713,279.0829482760755,209.62790384882027
00-0036972,Mac Jones,2025,345,-53.75460128159115,-4.350627101641866,-6.714037308405407,-392.0596533382923,-150.35042437802232,139.41921009863273,382.86514369590736,289.769634476655
00-0037013,Zach Wilson,2024,368,-101.30015159158766,-38.579768644945815,-41.446426148027626,-433.4170474096604,-184.580213659765,106.22177056588437,351.92681076016964,290.8019842256494
00-0037013,Zach Wilson,2025,368,-101.30015159158766,-29.140426922852072,-22.096942102970576,-580.7414833961634,-237.15760108234338,179.21260915686707,506.50312629238704,416.37021023921045
00-0037077,Sam Howell,2024,612,-103.66117762751853,-17.92740949142167,-18.875851460788923,-355.29616097203,-153.00958833413995,115.25520901041513,322.9425983329213,268.26479734455506
00-0037077,Sam Howell,2025,612,-103.66117762751853,-2.5988487633377035,-5.505278405529387,-490.189497437488,-188.64497207486258,190.71550958093252,480.03371862577234,379.36048165579507
00-0037834,Brock Purdy,2024,444,143.7535585695354,85.54664942137839,84.87567437173018,-260.83355154901193,-51.68196188748885,222.34167568511492,440.415946841774,274.0236375726038
00-0037834,Brock Purdy,2025,444,143.7535585695354,88.52444987508377,91.5327744711721,-406.30881816513704,-96.97498172915684,272.5475674643104,584.1501974543346,369.5225491934673
00-0038102,Kenny Pickett,2024,324,-40.24149194660611,-8.487864801008287,-10.297124731823736,-362.8745366916483,-139.5929583559943,129.00282158011714,342.1623029759178,268.59577993611146
00-0038102,Kenny Pickett,2025,324,-40.24149194660611,3.4168883169880666,5.154281159768809,-480.20557177613756,-179.10412050721845,188.69541265491674,477.94878824144746,367.79953316213516
00-0038122,Desmond Ridder,2024,388,-33.3997411758443,11.0626896372634,8.440305027285,-326.4568852400999,-125.67822668253962,141.52492255571903,365.03549408132426,267.2031492382587
00-0038122,Desmond Ridder,2025,388,-33.3997411758443,17.19753642618045,17.130493986843824,-463.28740821020796,-161.6052701574896,202.13161148771744,490.4388087586438,363.73688164520706
00-0038579,Aidan O'Connell,2024,343,-16.852607789448424,-1.4398228729439762,-1.8236432461046435,-356.41407185943365,-130.94709065721906,135.7040958001651,341.6181796268285,266.65118645738414
00-0038579,Aidan O'Connell,2025,343,-16.852607789448424,6.709999849170577,3.632522633841524,-482.72202679358924,-180.23860097976234,201.94292380779726,508.5339516801382,382.1815247875596
00-0039150,Bryce Young,2024,527,-160.3264418747372,-43.70735251288589,-43.42318705413284,-389.4276751726908,-177.10065883421544,87.71582582817625,305.0537528624849,264.8164846623917
00-0039150,Bryce Young,2025,527,-160.3264418747372,-32.09144621215074,-35.126137857277975,-536.432752606054,-218.0089325014511,155.1011967229298,455.33198633131616,373.1101292243809
00-0039163,C.J. Stroud,2024,499,64.82617261070857,15.278635177166258,15.527252622768149,-332.323487668057,-117.21149291827855,147.4968616462436,355.7933380243914,264.70835456452215
00-0039163,C.J. Stroud,2025,499,64.82617261070857,31.606090258833923,26.403413769288527,-453.07246944631214,-154.01586627204364,218.14754914087163,517.9891476923974,372.16341541291524
