gsis_id,player,forecast_year,carries_2023,rushing_epa_2023,epa_per_att_2023,ryoe_per_att_2023,has_ngs,epa_per_att_mean,epa_per_att_q25,epa_per_att_q75,mean,median,q05,q25,q75,q95,iqr
00-0033897,Joe Mixon,2024,257,-18.04731191544719,-0.0702230035620513,0.0230376261510443,1,-0.08328978180009472,-0.14479373477331986,-0.020854142436043888,-21.08624109176989,-20.060316632005335,-66.05348378145412,-35.965960507159714,-4.744540524207777,18.066499629662967,31.221419982951936
00-0033897,Joe Mixon,2025,257,-18.04731191544719,-0.0702230035620513,0.0230376261510443,1,-0.0876523621887468,-0.1580887261480197,-0.01619503211690534,-22.401079336439636,-18.685952629716645,-76.97121178667926,-39.60772110042763,-2.8961799648567226,20.646250787057216,36.71154113557091
00-0033906,Alvin Kamara,2024,180,-3.1450200827093795,-0.0174723337928298,-0.5646350217817696,1,-0.05837977681748162,-0.12221856478473524,0.0033570914340369067,-10.672145507262593,-9.634660546053304,-41.63418909596239,-21.60005842448158,0.5751304850202767,18.226549470312,22.17518890950186
00-0033906,Alvin Kamara,2025,180,-3.1450200827093795,-0.0174723337928298,-0.5646350217817696,1,-0.05994296788208395,-0.12955890292900007,0.010612167653285352,-10.837196592140753,-9.512794351454605,-47.078179634742476,-22.642037487944897,1.5340034117494614,20.590302079427143,24.176040899694357
00-0034184,Gus Edwards,2024,198,-12.828958436328318,-0.0647927193753955,0.2636956236124147,1,0.01904727924110064,-0.03807584727391167,0.07991613373498517,3.6630856822772566,3.0537925073686614,-27.236947438852535,-6.712175092054049,14.757007767046494,35.35056021624213,21.469182859100542
00-0034184,Gus Edwards,2025,198,-12.828958436328318,-0.0647927193753955,0.2636956236124147,1,0.020644723908817244,-0.043497579427092745,0.08398548714838139,3.855158569271732,2.5153291139509184,-29.679476846671253,-6.536257270428367,14.080299711032364,39.24987812350485,20.616556981460732
00-0034844,Saquon Barkley,2024,247,-50.37396212196922,-0.2039431664857053,0.3893385699122722,1,-0.09051208469562769,-0.15457327042003507,-0.026018636459569585,-22.558600977791613,-20.83489184757761,-66.79965482957867,-37.99203727837598,-5.769797152594114,16.106957999875643,32.222240125781866
00-0034844,Saquon Barkley,2025,247,-50.37396212196922,-0.2039431664857053,0.3893385699122722,1,-0.08700284371837702,-0.16152526488671753,-0.014694704323491726,-21.624046957031513,-18.241446676864236,-77.09738959910848,-38.6572239524645,-2.268063116629317,23.37480745741254,36.389160835835185
00-0034972,Alexander Mattison,2024,180,-31.740954303268495,-0.1763386350181583,-0.2541227712899943,1,-0.14427619478939346,-0.21035088088307627,-0.07780970409006756,-26.034773400942306,-25.572631195715434,-57.553318283835814,-37.70799610455076,-13.514422650214653,3.146283125219472,24.193573454336104
00-0034972,Alexander Mattison,2025,180,-31.740954303268495,-0.1763386350181583,-0.2541227712899943,1,-0.14642932107425252,-0.22063679664976432,-0.07450391532614697,-26.51485266376228,-25.779425163446746,-61.76560296607814,-39.564477234654035,-12.697697073548147,6.013919071581385,26.866780161105886
00-0035250,Devin Singletary,2024,216,-16.57968231601304,-0.0767577885000603,0.1545180905058975,1,-0.05030331440041162,-0.10392818847375385,0.0034222551807085947,-10.893078513086198,-10.973863506145022,-40.42928247563979,-22.412089992231174,0.7444348603258747,19.045680495930092,23.156524852557048
00-0035250,Devin Singletary,2025,216,-16.57968231601304,-0.0767577885000603,0.1545180905058975,1,-0.047410112191542994,-0.10460709102045745,0.008338564942538736,-10.126756757326758,-9.989250423998872,-42.42696590265161,-22.16701512239574,1.7082847826541032,20.428504107737634,23.875299905049843
00-0035261,Tony Pollard,2024,252,-17.861171165082347,-0.0708776633535013,-0.1613946868007649,1,-0.05857249177393833,-0.12102858637006988,0.003936093679725442,-14.782087458112715,-14.692807946376291,-53.75871334164673,-30.45945412820575,1.0225478575599705,24.862772995119688,31.48200198576572
00-0035261,Tony Pollard,2025,252,-17.861171165082347,-0.0708776633535013,-0.1613946868007649,1,-0.0615223186796707,-0.13361040787326767,0.012015730792167131,-15.610052400422989,-15.279796013072115,-62.06455600551426,-33.09509004843421,3.070495146543007,29.627717819817217,36.16558519497722
00-0035685,David Montgomery,2024,219,10.28340074429789,0.0469561677821821,0.2879986455639524,1,-0.026345067168640136,-0.08920942703512473,0.03536318359094494,-5.797226366530773,-5.655672345406974,-40.290675412918816,-19.431470083194007,7.738416263288663,28.158947155945526,27.16988634648267
00-0035685,David Montgomery,2025,219,10.28340074429789,0.0469561677821821,0.2879986455639524,1,-0.02612366049661798,-0.09852021737041602,0.04752618272664766,-5.75659722125303,-6.561421432985987,-44.54881566485878,-21.235623156311448,10.230384056111308,34.15367541582745,31.466007212422756
00-0035700,Josh Jacobs,2024,233,-44.319291594730835,-0.190211551908716,-0.3739304610770163,1,-0.13398061304314332,-0.19817064729851985,-0.06853724971719133,-31.214666955942846,-28.20278207402413,-78.97876135495343,-45.77897650348799,-13.825854073617922,5.55712816686934,31.953122429870067
00-0035700,Josh Jacobs,2025,233,-44.319291594730835,-0.190211551908716,-0.3739304610770163,1,-0.12993427893705647,-0.20029242288957552,-0.06013298211023373,-30.269358785881206,-26.287410239419707,-84.9253982258958,-46.27773111244032,-10.17025960596341,8.799721210256074,36.10747150647691
00-0036223,Jonathan Taylor,2024,169,-10.159002013304985,-0.0601124379485501,0.3242128662315727,1,-0.030101559090830416,-0.09320535777678698,0.033719537035283145,-5.2475088920515995,-3.8823098973458317,-35.533575969719564,-15.127130661118764,4.847577868107514,22.348143034926593,19.974708529226277
00-0036223,Jonathan Taylor,2025,169,-10.159002013304985,-0.0601124379485501,0.3242128662315727,1,-0.030174730094672413,-0.10268796388301935,0.041058188439861004,-5.206367725392098,-2.6518509727581376,-43.568826401089595,-15.191811868317812,5.273655922501004,25.878028187616927,20.465467790818817
00-0036251,Zack Moss,2024,183,-14.03089295560622,-0.0766715462054984,0.711456028129064,1,-0.012753810035993048,-0.07825260652717866,0.052839865533131636,-2.262131804058193,-1.8157890415268811,-33.29674927210682,-13.557642178547297,8.936639793769134,27.463692722291682,22.49428197231643
00-0036251,Zack Moss,2025,183,-14.03089295560622,-0.0766715462054984,0.711456028129064,1,-0.015031424723013952,-0.08604838555380145,0.05424029348381894,-2.8129241197273207,-2.0106544004423474,-40.08663149382994,-14.21341788555406,8.162343575625226,34.03871234565332,22.375761461179287
00-0036265,AJ Dillon,2024,178,-23.49627604587461,-0.1320015508195202,-0.3620871918608508,1,-0.04855188059708517,-0.10707749774761006,0.00857892575661615,-8.642512683852937,-8.22587597114563,-34.44784844137364,-18.989244392279677,1.5418967869096754,16.37530656118316,20.53114117918935
00-0036265,AJ Dillon,2025,178,-23.49627604587461,-0.1320015508195202,-0.3620871918608508,1,-0.049604615826762684,-0.10936612287924197,0.011249617195472482,-8.827893175197092,-8.607619410002382,-35.2260987416123,-19.58925458390211,2.025399484950233,17.19305761868674,21.614654068852346
00-0036275,D'Andre Swift,2024,229,1.9140144739499827,0.0083581418076418,-0.2872989893384116,1,-0.05313498116386557,-0.11962520635204896,0.01341722612627017,-12.086588104878807,-10.845852731582154,-53.42144733627207,-25.880116155532015,2.787963336726409,24.65825273729493,28.668079492258425
00-0036275,D'Andre Swift,2025,229,1.9140144739499827,0.0083581418076418,-0.2872989893384116,1,-0.05596961272884196,-0.12907082842568662,0.017022686581721853,-13.02400281305927,-10.201267296734079,-62.66433426736842,-27.036736824414575,2.819093584554432,27.467824362514225,29.855830408969005
00-0036555,Chuba Hubbard,2024,238,-21.51596444684838,-0.0904032119615478,0.1933784009930784,1,-0.036075117342189614,-0.10059305614709774,0.02667440755189055,-8.5718749609581,-7.634465995176701,-49.42437399922285,-22.94004416872795,5.768879313430222,30.519166612666115,28.708923482158173
00-0036555,Chuba Hubbard,2025,238,-21.51596444684838,-0.0904032119615478,0.1933784009930784,1,-0.03926871514814772,-0.11381722105760703,0.03306843554703623,-9.523594878441163,-7.1257739502015,-59.274183061820665,-24.841702506475123,6.2516124197829015,35.381789830803164,31.093314926258024
00-0036875,Rhamondre Stevenson,2024,156,-12.854978864108364,-0.0824037106673613,-0.1198602719791593,1,-0.060976520168725984,-0.12844135250912392,0.004029005887645371,-9.387006878541513,-7.5391574013516145,-40.16162031652475,-18.591897944213457,0.3313027092394953,16.210658014743228,18.92320065345295
00-0036875,Rhamondre Stevenson,2025,156,-12.854978864108364,-0.0824037106673613,-0.1198602719791593,1,-0.06677824261019111,-0.13835180189992033,0.005961669024609415,-10.932012936376877,-7.410857334978198,-50.48122439211902,-21.09347025235831,0.11178047229392728,18.579160282157172,21.205250724652235
00-0036893,Najee Harris,2024,255,-24.945111917782064,-0.0978239683050277,0.3133120961712421,1,-0.03200501495294836,-0.09624472572328661,0.03310055491186516,-8.163999492648632,-8.178199170525057,-49.821274084737524,-24.553602315847737,8.507189885251176,33.31660281406206,33.06079220109891
00-0036893,Najee Harris,2025,255,-24.945111917782064,-0.0978239683050277,0.3133120961712421,1,-0.034882437341133485,-0.10623922128065091,0.03415025834939278,-8.882006583205072,-9.10422176586924,-54.59661407081197,-26.925727851511255,8.82580177643498,36.379344759969584,35.75152962794623
